A00;Colera
A01;Febbre tifoide e paratifo
A02;Altre infezioni da salmonella
A03;Shigellosi
A04;Altre infezioni batteriche intestinali
A05;Altre intossicazioni alimentari batteriche
A06;Amebiasi
A07;Altre malattie intestinali da protozoi
A08;Infezioni virali intestinali ed altre infezioni intestinali specificate
A09;Diarrea e gastroenterite di presunta origine infettiva
A15;Tubercolosi respiratoria confermata batteriologicamente ed istologicamente
A16;Tubercolosi respiratoria non confermata batteriologicamente ed istologicamente
A17;Tubercolosi del sistema nervoso
A18;Tubercolosi di altri organi
A19;Tubercolosi miliare
A20;Peste
A21;Tularemia
A22;Carbonchio
A23;Brucellosi
A24;Morva e melioidosi
A25;Febbri da morso di ratto
A26;Erisipeloide
A27;Leptospirosi
A28;Altre specificate malattie batteriche trasmesse da animali non classificate altrove
A30;Lebbra [malattia di Hansen]
A31;Infezione da altri micobatteri
A32;Listeriosi
A33;Tetano del neonato
A34;Tetano ostetrico
A35;Altre forme di tetano
A36;Differite
A37;Pertosse
A38;Scarlattina
A39;Infezione meningococcia
A40;Setticemia streptococcia
A41;Altre forme di setticemia
A42;Actinomicosi
A43;Nocardiosi
A44;Bartonellosi
A46;Erisipela
A48;Altre malattie batteriche non classificate altrove
A49;Infezione batterica di sede non specificata
A50;Sifilide congenita
A51;Sifilide precoce
A52;Sifilide tardiva
A53;Altre e non specificate forme di sifilide
A54;Infezione gonococcica
A55;Linfogranuloma (venereo) da Chlamydiae
A56;Altre malattie da Chlamydiae sessualmente trasmesse
A57;Ulcera venerea molle
A58;Granuloma inguinale
A59;Tricomoniasi
A60;Infezioni anogenitali da herpes virus [herpes simplex]
A63;Altre malattie a trasmissione prevalentemente sessuale non classificate altrove
A64;Malattia sessualmente trasmessa non specificata
A65;Sifilide non venerea
A66;Framboesia
A67;Pinta [carate]
A68;Febbri ricorrenti
A69;Altre infezioni da spirochete
A70;Infezione da Chlamydiae psittaci
A71;Tracoma
A74;Altre malattie da Chlamydiae
A75;Tifo esantematico
A77;Febbre maculosa [rickettsiosi da zecche]
A78;Febbre Q
A79;Altre rickettsiosi
A80;Poliomielite acuta
A81;Infezioni del sistema nervoso centrale da virus non convenzionali
A82;Rabbia
A83;Encefalite virale da zanzare
